Run dsf tuning
Size shrunk from 1000 to 1000
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
9 | 1 | 305 | 305 | Search | -352276 | -352276 | Global Improvement.
9 | 1 | 306 | 306 | Search | -352320 | -352320 | Global Improvement.
9 | 1 | 307 | 307 | Search | -352334 | -352334 | Global Improvement.
233 | 9 | 7277 | 970 | Search | -352343 | -352343 | Global Improvement.
233 | 9 | 7278 | 971 | Search | -352351 | -352351 | Global Improvement.
233 | 9 | 7279 | 972 | Search | -352355 | -352355 | Global Improvement.
234 | 9 | 7308 | 1001 | Search | -352366 | -352366 | Global Improvement.
234 | 9 | 7309 | 1002 | Search | -352370 | -352370 | Global Improvement.
234 | 9 | 7331 | 1024 | Search | -352425 | -352425 | Global Improvement.
234 | 9 | 7332 | 1025 | Search | -352435 | -352435 | Global Improvement.
234 | 9 | 7333 | 1026 | Search | -352479 | -352479 | Global Improvement.
235 | 9 | 7339 | 1032 | Search | -352493 | -352493 | Global Improvement.
235 | 9 | 7340 | 1033 | Search | -352521 | -352521 | Global Improvement.
235 | 9 | 7341 | 1034 | Search | -352529 | -352529 | Global Improvement.
236 | 9 | 7375 | 1068 | Search | -352530 | -352530 | Global Improvement.
236 | 9 | 7376 | 1069 | Search | -352536 | -352536 | Global Improvement.
236 | 9 | 7395 | 1088 | Search | -352549 | -352549 | Global Improvement.
236 | 9 | 7396 | 1089 | Search | -352555 | -352555 | Global Improvement.
237 | 9 | 7417 | 1110 | Search | -352559 | -352559 | Global Improvement.
238 | 9 | 7449 | 1142 | Search | -352565 | -352565 | Global Improvement.
238 | 9 | 7450 | 1143 | Search | -352579 | -352579 | Global Improvement.
594 | 23 | 18662 | 712 | Search | -352593 | -352593 | Global Improvement.
1106 | 45 | 35440 | 278 | Search | -352609 | -352609 | Global Improvement.
1106 | 45 | 35441 | 279 | Search | -352621 | -352621 | Global Improvement.
2094 | 87 | 67619 | 678 | Search | -352625 | -352625 | Global Improvement.
2094 | 87 | 67620 | 679 | Search | -352647 | -352647 | Global Improvement.
2094 | 87 | 67625 | 684 | Search | -352682 | -352682 | Global Improvement.
2094 | 87 | 67626 | 685 | Search | -352726 | -352726 | Global Improvement.
2094 | 87 | 67627 | 686 | Search | -352760 | -352760 | Global Improvement.

 Optimization finished in 5.020751538s. 
 Objective of best solution found: -352760
Size shrunk from 1000 to 1000
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -356998 | -356998 | Global Improvement.
0 | 1 | 2 | 2 | Search | -357060 | -357060 | Global Improvement.
0 | 1 | 3 | 3 | Search | -357092 | -357092 | Global Improvement.
0 | 1 | 4 | 4 | Search | -357178 | -357178 | Global Improvement.
0 | 1 | 5 | 5 | Search | -357214 | -357214 | Global Improvement.
0 | 1 | 6 | 6 | Search | -357260 | -357260 | Global Improvement.
0 | 1 | 7 | 7 | Search | -357288 | -357288 | Global Improvement.
0 | 1 | 8 | 8 | Search | -357316 | -357316 | Global Improvement.
0 | 1 | 9 | 9 | Search | -357352 | -357352 | Global Improvement.
0 | 1 | 10 | 10 | Search | -357362 | -357362 | Global Improvement.
0 | 1 | 11 | 11 | Search | -357426 | -357426 | Global Improvement.
0 | 1 | 14 | 14 | Search | -357454 | -357454 | Global Improvement.
0 | 1 | 15 | 15 | Search | -357536 | -357536 | Global Improvement.
0 | 1 | 16 | 16 | Search | -357604 | -357604 | Global Improvement.
0 | 1 | 17 | 17 | Search | -357641 | -357641 | Global Improvement.
0 | 1 | 18 | 18 | Search | -357673 | -357673 | Global Improvement.
2 | 1 | 84 | 84 | Search | -357703 | -357703 | Global Improvement.
4 | 1 | 133 | 133 | Search | -357747 | -357747 | Global Improvement.
6 | 1 | 227 | 227 | Search | -357799 | -357799 | Global Improvement.
6 | 1 | 229 | 229 | Search | -357817 | -357817 | Global Improvement.
8 | 1 | 264 | 264 | Search | -357837 | -357837 | Global Improvement.
9 | 1 | 295 | 295 | Search | -357846 | -357846 | Global Improvement.
9 | 1 | 296 | 296 | Search | -357884 | -357884 | Global Improvement.
11 | 1 | 372 | 372 | Search | -357904 | -357904 | Global Improvement.
38 | 1 | 1341 | 1341 | Search | -357920 | -357920 | Global Improvement.
55 | 1 | 1942 | 1942 | Search | -357930 | -357930 | Global Improvement.
55 | 1 | 1943 | 1943 | Search | -357964 | -357964 | Global Improvement.
55 | 1 | 1945 | 1945 | Search | -357990 | -357990 | Global Improvement.
55 | 1 | 1948 | 1948 | Search | -358012 | -358012 | Global Improvement.
2455 | 105 | 80608 | 660 | Search | -358014 | -358014 | Global Improvement.
2455 | 105 | 80609 | 661 | Search | -358115 | -358115 | Global Improvement.
2455 | 105 | 80610 | 662 | Search | -358201 | -358201 | Global Improvement.
2455 | 105 | 80611 | 663 | Search | -358239 | -358239 | Global Improvement.
2455 | 105 | 80612 | 664 | Search | -358327 | -358327 | Global Improvement.
2455 | 105 | 80613 | 665 | Search | -358337 | -358337 | Global Improvement.
2455 | 105 | 80615 | 667 | Search | -358415 | -358415 | Global Improvement.
2456 | 105 | 80625 | 677 | Search | -358455 | -358455 | Global Improvement.
2456 | 105 | 80626 | 678 | Search | -358483 | -358483 | Global Improvement.
2456 | 105 | 80627 | 679 | Search | -358501 | -358501 | Global Improvement.
2456 | 105 | 80628 | 680 | Search | -358517 | -358517 | Global Improvement.
2456 | 105 | 80629 | 681 | Search | -358525 | -358525 | Global Improvement.
2456 | 105 | 80630 | 682 | Search | -358529 | -358529 | Global Improvement.
2457 | 105 | 80665 | 717 | Search | -358531 | -358531 | Global Improvement.
2457 | 105 | 80666 | 718 | Search | -358539 | -358539 | Global Improvement.
2462 | 105 | 80838 | 890 | Search | -358575 | -358575 | Global Improvement.
2462 | 105 | 80839 | 891 | Search | -358645 | -358645 | Global Improvement.
2475 | 105 | 81275 | 1327 | Search | -358648 | -358648 | Global Improvement.
2475 | 105 | 81276 | 1328 | Search | -358730 | -358730 | Global Improvement.
2475 | 105 | 81277 | 1329 | Search | -358746 | -358746 | Global Improvement.
2475 | 105 | 81278 | 1330 | Search | -358754 | -358754 | Global Improvement.
2475 | 105 | 81279 | 1331 | Search | -358773 | -358773 | Global Improvement.
2475 | 105 | 81280 | 1332 | Search | -358781 | -358781 | Global Improvement.
2476 | 105 | 81301 | 1353 | Search | -358867 | -358867 | Global Improvement.
2476 | 105 | 81302 | 1354 | Search | -358949 | -358949 | Global Improvement.
2476 | 105 | 81303 | 1355 | Search | -358967 | -358967 | Global Improvement.
2476 | 105 | 81304 | 1356 | Search | -358983 | -358983 | Global Improvement.
2476 | 105 | 81305 | 1357 | Search | -358987 | -358987 | Global Improvement.
2476 | 105 | 81306 | 1358 | Search | -358999 | -358999 | Global Improvement.
3128 | 131 | 101806 | 1000 | Search | -359005 | -359005 | Global Improvement.
3128 | 131 | 101807 | 1001 | Search | -359017 | -359017 | Global Improvement.
3128 | 131 | 101808 | 1002 | Search | -359023 | -359023 | Global Improvement.
3350 | 139 | 108678 | 870 | Search | -359026 | -359026 | Global Improvement.
3355 | 139 | 108838 | 1030 | Search | -359040 | -359040 | Global Improvement.
3355 | 139 | 108839 | 1031 | Search | -359070 | -359070 | Global Improvement.
3355 | 139 | 108840 | 1032 | Search | -359076 | -359076 | Global Improvement.

 Optimization finished in 7.241576354s. 
 Objective of best solution found: -359076
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -356998 | -356998 | Global Improvement.
0 | 1 | 2 | 2 | Search | -357060 | -357060 | Global Improvement.
0 | 1 | 3 | 3 | Search | -357092 | -357092 | Global Improvement.
0 | 1 | 4 | 4 | Search | -357178 | -357178 | Global Improvement.
0 | 1 | 5 | 5 | Search | -357214 | -357214 | Global Improvement.
0 | 1 | 6 | 6 | Search | -357260 | -357260 | Global Improvement.
0 | 1 | 7 | 7 | Search | -357288 | -357288 | Global Improvement.
0 | 1 | 8 | 8 | Search | -357316 | -357316 | Global Improvement.
0 | 1 | 9 | 9 | Search | -357352 | -357352 | Global Improvement.
0 | 1 | 10 | 10 | Search | -357362 | -357362 | Global Improvement.
0 | 1 | 11 | 11 | Search | -357426 | -357426 | Global Improvement.
0 | 1 | 14 | 14 | Search | -357454 | -357454 | Global Improvement.
0 | 1 | 15 | 15 | Search | -357536 | -357536 | Global Improvement.
0 | 1 | 16 | 16 | Search | -357604 | -357604 | Global Improvement.
0 | 1 | 17 | 17 | Search | -357641 | -357641 | Global Improvement.
0 | 1 | 18 | 18 | Search | -357673 | -357673 | Global Improvement.
2 | 1 | 84 | 84 | Search | -357703 | -357703 | Global Improvement.
3 | 1 | 133 | 133 | Search | -357747 | -357747 | Global Improvement.
6 | 1 | 227 | 227 | Search | -357799 | -357799 | Global Improvement.
6 | 1 | 229 | 229 | Search | -357817 | -357817 | Global Improvement.
7 | 1 | 264 | 264 | Search | -357837 | -357837 | Global Improvement.
8 | 1 | 295 | 295 | Search | -357846 | -357846 | Global Improvement.
8 | 1 | 296 | 296 | Search | -357884 | -357884 | Global Improvement.
10 | 1 | 372 | 372 | Search | -357904 | -357904 | Global Improvement.
36 | 1 | 1341 | 1341 | Search | -357920 | -357920 | Global Improvement.
53 | 1 | 1942 | 1942 | Search | -357930 | -357930 | Global Improvement.
53 | 1 | 1943 | 1943 | Search | -357964 | -357964 | Global Improvement.
53 | 1 | 1945 | 1945 | Search | -357990 | -357990 | Global Improvement.
53 | 1 | 1948 | 1948 | Search | -358012 | -358012 | Global Improvement.
898 | 37 | 29538 | 590 | Search | -358014 | -358014 | Global Improvement.
898 | 37 | 29539 | 591 | Search | -358115 | -358115 | Global Improvement.
898 | 37 | 29540 | 592 | Search | -358201 | -358201 | Global Improvement.
898 | 37 | 29541 | 593 | Search | -358239 | -358239 | Global Improvement.
898 | 37 | 29542 | 594 | Search | -358327 | -358327 | Global Improvement.
898 | 37 | 29543 | 595 | Search | -358337 | -358337 | Global Improvement.
898 | 37 | 29545 | 597 | Search | -358415 | -358415 | Global Improvement.
898 | 37 | 29555 | 607 | Search | -358455 | -358455 | Global Improvement.
898 | 37 | 29556 | 608 | Search | -358483 | -358483 | Global Improvement.
898 | 37 | 29557 | 609 | Search | -358501 | -358501 | Global Improvement.
898 | 37 | 29558 | 610 | Search | -358517 | -358517 | Global Improvement.
898 | 37 | 29559 | 611 | Search | -358525 | -358525 | Global Improvement.
898 | 37 | 29560 | 612 | Search | -358529 | -358529 | Global Improvement.
901 | 37 | 29662 | 714 | Search | -358539 | -358539 | Global Improvement.
903 | 37 | 29734 | 786 | Search | -358575 | -358575 | Global Improvement.
903 | 37 | 29735 | 787 | Search | -358645 | -358645 | Global Improvement.
917 | 37 | 30273 | 1325 | Search | -358658 | -358658 | Global Improvement.
917 | 37 | 30274 | 1326 | Search | -358700 | -358700 | Global Improvement.
917 | 37 | 30275 | 1327 | Search | -358740 | -358740 | Global Improvement.
917 | 37 | 30276 | 1328 | Search | -358759 | -358759 | Global Improvement.
917 | 37 | 30279 | 1331 | Search | -358833 | -358833 | Global Improvement.
917 | 37 | 30280 | 1332 | Search | -358927 | -358927 | Global Improvement.
918 | 37 | 30281 | 1333 | Search | -358945 | -358945 | Global Improvement.
918 | 37 | 30282 | 1334 | Search | -358961 | -358961 | Global Improvement.
918 | 37 | 30283 | 1335 | Search | -358965 | -358965 | Global Improvement.
918 | 37 | 30284 | 1336 | Search | -358977 | -358977 | Global Improvement.
922 | 37 | 30459 | 1511 | Search | -358981 | -358981 | Global Improvement.
922 | 37 | 30460 | 1512 | Search | -358999 | -358999 | Global Improvement.

 Optimization finished in 3.693118941s. 
 Objective of best solution found: -358999
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -356998 | -356998 | Global Improvement.
0 | 1 | 2 | 2 | Search | -357060 | -357060 | Global Improvement.
0 | 1 | 3 | 3 | Search | -357092 | -357092 | Global Improvement.
0 | 1 | 4 | 4 | Search | -357178 | -357178 | Global Improvement.
0 | 1 | 5 | 5 | Search | -357214 | -357214 | Global Improvement.
0 | 1 | 6 | 6 | Search | -357260 | -357260 | Global Improvement.
0 | 1 | 7 | 7 | Search | -357288 | -357288 | Global Improvement.
0 | 1 | 8 | 8 | Search | -357316 | -357316 | Global Improvement.
0 | 1 | 9 | 9 | Search | -357352 | -357352 | Global Improvement.
0 | 1 | 10 | 10 | Search | -357362 | -357362 | Global Improvement.
0 | 1 | 11 | 11 | Search | -357426 | -357426 | Global Improvement.
0 | 1 | 14 | 14 | Search | -357454 | -357454 | Global Improvement.
0 | 1 | 15 | 15 | Search | -357536 | -357536 | Global Improvement.
0 | 1 | 16 | 16 | Search | -357604 | -357604 | Global Improvement.
0 | 1 | 17 | 17 | Search | -357641 | -357641 | Global Improvement.
0 | 1 | 18 | 18 | Search | -357673 | -357673 | Global Improvement.
2 | 1 | 84 | 84 | Search | -357703 | -357703 | Global Improvement.
3 | 1 | 133 | 133 | Search | -357747 | -357747 | Global Improvement.
6 | 1 | 227 | 227 | Search | -357799 | -357799 | Global Improvement.
6 | 1 | 229 | 229 | Search | -357817 | -357817 | Global Improvement.
7 | 1 | 264 | 264 | Search | -357837 | -357837 | Global Improvement.
7 | 1 | 295 | 295 | Search | -357846 | -357846 | Global Improvement.
7 | 1 | 296 | 296 | Search | -357884 | -357884 | Global Improvement.
9 | 1 | 372 | 372 | Search | -357904 | -357904 | Global Improvement.
37 | 1 | 1341 | 1341 | Search | -357920 | -357920 | Global Improvement.
55 | 1 | 1942 | 1942 | Search | -357930 | -357930 | Global Improvement.
55 | 1 | 1943 | 1943 | Search | -357964 | -357964 | Global Improvement.
55 | 1 | 1945 | 1945 | Search | -357990 | -357990 | Global Improvement.
55 | 1 | 1948 | 1948 | Search | -358012 | -358012 | Global Improvement.

 Optimization finished in 4.268816761s. 
 Objective of best solution found: -358012
Size shrunk from 1000 to 1000
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -368338 | -368338 | Global Improvement.
0 | 1 | 2 | 2 | Search | -368462 | -368462 | Global Improvement.
0 | 1 | 3 | 3 | Search | -368560 | -368560 | Global Improvement.
0 | 1 | 4 | 4 | Search | -368624 | -368624 | Global Improvement.
0 | 1 | 5 | 5 | Search | -368632 | -368632 | Global Improvement.
0 | 1 | 6 | 6 | Search | -368760 | -368760 | Global Improvement.
0 | 1 | 7 | 7 | Search | -368770 | -368770 | Global Improvement.
0 | 1 | 8 | 8 | Search | -368778 | -368778 | Global Improvement.
0 | 1 | 10 | 10 | Search | -368812 | -368812 | Global Improvement.
0 | 1 | 11 | 11 | Search | -368826 | -368826 | Global Improvement.
0 | 1 | 12 | 12 | Search | -368882 | -368882 | Global Improvement.
0 | 1 | 14 | 14 | Search | -368894 | -368894 | Global Improvement.
0 | 1 | 15 | 15 | Search | -368942 | -368942 | Global Improvement.
0 | 1 | 17 | 17 | Search | -369006 | -369006 | Global Improvement.
