Run tenure ratio tuning
Size shrunk from 1000 to 1000
Warning: Given tenure ratio leads to small tabu tenure of 0.Minimum tabu_tenure 5 set instead
Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
1 | 1 | 62 | 62 | Search | -340922 | -340922 | Global Improvement.
1 | 1 | 63 | 63 | Search | -341158 | -341158 | Global Improvement.
2 | 1 | 64 | 64 | Search | -341382 | -341382 | Global Improvement.
2 | 1 | 65 | 65 | Search | -341526 | -341526 | Global Improvement.
2 | 1 | 66 | 66 | Search | -341744 | -341744 | Global Improvement.
2 | 1 | 67 | 67 | Search | -341974 | -341974 | Global Improvement.
2 | 1 | 68 | 68 | Search | -342079 | -342079 | Global Improvement.
2 | 1 | 69 | 69 | Search | -342181 | -342181 | Global Improvement.
2 | 1 | 70 | 70 | Search | -342273 | -342273 | Global Improvement.
2 | 1 | 71 | 71 | Search | -342443 | -342443 | Global Improvement.
2 | 1 | 72 | 72 | Search | -342587 | -342587 | Global Improvement.
2 | 1 | 73 | 73 | Search | -342861 | -342861 | Global Improvement.
2 | 1 | 74 | 74 | Search | -342973 | -342973 | Global Improvement.
2 | 1 | 75 | 75 | Search | -343049 | -343049 | Global Improvement.
2 | 1 | 76 | 76 | Search | -343113 | -343113 | Global Improvement.
2 | 1 | 77 | 77 | Search | -343227 | -343227 | Global Improvement.
2 | 1 | 78 | 78 | Search | -343382 | -343382 | Global Improvement.
2 | 1 | 79 | 79 | Search | -343594 | -343594 | Global Improvement.
2 | 1 | 80 | 80 | Search | -343702 | -343702 | Global Improvement.
2 | 1 | 81 | 81 | Search | -343806 | -343806 | Global Improvement.
2 | 1 | 82 | 82 | Search | -343946 | -343946 | Global Improvement.
2 | 1 | 83 | 83 | Search | -344086 | -344086 | Global Improvement.
2 | 1 | 84 | 84 | Search | -344186 | -344186 | Global Improvement.
2 | 1 | 85 | 85 | Search | -344286 | -344286 | Global Improvement.
2 | 1 | 86 | 86 | Search | -344358 | -344358 | Global Improvement.
2 | 1 | 87 | 87 | Search | -344472 | -344472 | Global Improvement.
2 | 1 | 88 | 88 | Search | -344578 | -344578 | Global Improvement.
2 | 1 | 89 | 89 | Search | -344648 | -344648 | Global Improvement.
2 | 1 | 90 | 90 | Search | -344766 | -344766 | Global Improvement.
2 | 1 | 91 | 91 | Search | -344992 | -344992 | Global Improvement.
2 | 1 | 92 | 92 | Search | -345058 | -345058 | Global Improvement.
2 | 1 | 93 | 93 | Search | -345192 | -345192 | Global Improvement.
2 | 1 | 94 | 94 | Search | -345251 | -345251 | Global Improvement.
2 | 1 | 95 | 95 | Search | -345305 | -345305 | Global Improvement.
2 | 1 | 96 | 96 | Search | -345339 | -345339 | Global Improvement.
2 | 1 | 97 | 97 | Search | -345421 | -345421 | Global Improvement.
3 | 1 | 98 | 98 | Search | -345497 | -345497 | Global Improvement.
3 | 1 | 99 | 99 | Search | -345551 | -345551 | Global Improvement.
3 | 1 | 100 | 100 | Search | -345629 | -345629 | Global Improvement.
3 | 1 | 101 | 101 | Search | -345681 | -345681 | Global Improvement.
3 | 1 | 102 | 102 | Search | -345774 | -345774 | Global Improvement.
3 | 1 | 103 | 103 | Search | -345798 | -345798 | Global Improvement.
3 | 1 | 104 | 104 | Search | -345822 | -345822 | Global Improvement.
3 | 1 | 105 | 105 | Search | -345848 | -345848 | Global Improvement.
3 | 1 | 106 | 106 | Search | -345866 | -345866 | Global Improvement.
3 | 1 | 107 | 107 | Search | -345908 | -345908 | Global Improvement.
3 | 1 | 108 | 108 | Search | -345924 | -345924 | Global Improvement.
3 | 1 | 109 | 109 | Search | -345934 | -345934 | Global Improvement.
3 | 1 | 111 | 111 | Search | -346090 | -346090 | Global Improvement.
3 | 1 | 113 | 113 | Search | -346130 | -346130 | Global Improvement.
3 | 1 | 114 | 114 | Search | -346138 | -346138 | Global Improvement.
3 | 1 | 116 | 116 | Search | -346304 | -346304 | Global Improvement.
3 | 1 | 117 | 117 | Search | -346341 | -346341 | Global Improvement.
3 | 1 | 118 | 118 | Search | -346471 | -346471 | Global Improvement.
3 | 1 | 119 | 119 | Search | -346605 | -346605 | Global Improvement.
3 | 1 | 120 | 120 | Search | -346651 | -346651 | Global Improvement.
3 | 1 | 121 | 121 | Search | -346729 | -346729 | Global Improvement.
3 | 1 | 122 | 122 | Search | -346795 | -346795 | Global Improvement.
3 | 1 | 123 | 123 | Search | -346861 | -346861 | Global Improvement.
3 | 1 | 124 | 124 | Search | -346950 | -346950 | Global Improvement.
3 | 1 | 125 | 125 | Search | -347006 | -347006 | Global Improvement.
3 | 1 | 126 | 126 | Search | -347158 | -347158 | Global Improvement.
3 | 1 | 127 | 127 | Search | -347196 | -347196 | Global Improvement.
3 | 1 | 128 | 128 | Search | -347352 | -347352 | Global Improvement.
3 | 1 | 129 | 129 | Search | -347426 | -347426 | Global Improvement.
3 | 1 | 130 | 130 | Search | -347508 | -347508 | Global Improvement.
3 | 1 | 131 | 131 | Search | -347562 | -347562 | Global Improvement.
3 | 1 | 132 | 132 | Search | -347612 | -347612 | Global Improvement.
4 | 1 | 133 | 133 | Search | -347730 | -347730 | Global Improvement.
4 | 1 | 134 | 134 | Search | -347774 | -347774 | Global Improvement.
4 | 1 | 138 | 138 | Search | -347794 | -347794 | Global Improvement.
4 | 1 | 139 | 139 | Search | -347834 | -347834 | Global Improvement.
4 | 1 | 140 | 140 | Search | -347938 | -347938 | Global Improvement.
4 | 1 | 142 | 142 | Search | -347940 | -347940 | Global Improvement.
4 | 1 | 146 | 146 | Search | -348006 | -348006 | Global Improvement.
4 | 1 | 147 | 147 | Search | -348148 | -348148 | Global Improvement.
4 | 1 | 148 | 148 | Search | -348196 | -348196 | Global Improvement.
4 | 1 | 149 | 149 | Search | -348226 | -348226 | Global Improvement.
4 | 1 | 150 | 150 | Search | -348250 | -348250 | Global Improvement.
4 | 1 | 151 | 151 | Search | -348264 | -348264 | Global Improvement.
4 | 1 | 156 | 156 | Search | -348306 | -348306 | Global Improvement.
4 | 1 | 157 | 157 | Search | -348348 | -348348 | Global Improvement.
4 | 1 | 158 | 158 | Search | -348364 | -348364 | Global Improvement.
4 | 1 | 159 | 159 | Search | -348372 | -348372 | Global Improvement.
4 | 1 | 160 | 160 | Search | -348374 | -348374 | Global Improvement.
33 | 3 | 1253 | 43 | Search | -348447 | -348447 | Global Improvement.
33 | 3 | 1254 | 44 | Search | -348635 | -348635 | Global Improvement.
33 | 3 | 1255 | 45 | Search | -348749 | -348749 | Global Improvement.
33 | 3 | 1256 | 46 | Search | -348791 | -348791 | Global Improvement.
33 | 3 | 1257 | 47 | Search | -348935 | -348935 | Global Improvement.
33 | 3 | 1258 | 48 | Search | -348973 | -348973 | Global Improvement.
33 | 3 | 1259 | 49 | Search | -349005 | -349005 | Global Improvement.
33 | 3 | 1260 | 50 | Search | -349037 | -349037 | Global Improvement.
33 | 3 | 1261 | 51 | Search | -349063 | -349063 | Global Improvement.
34 | 3 | 1262 | 52 | Search | -349087 | -349087 | Global Improvement.
34 | 3 | 1263 | 53 | Search | -349109 | -349109 | Global Improvement.
34 | 3 | 1264 | 54 | Search | -349127 | -349127 | Global Improvement.
34 | 3 | 1265 | 55 | Search | -349245 | -349245 | Global Improvement.
34 | 3 | 1267 | 57 | Search | -349343 | -349343 | Global Improvement.
34 | 3 | 1268 | 58 | Search | -349423 | -349423 | Global Improvement.
34 | 3 | 1271 | 61 | Search | -349451 | -349451 | Global Improvement.
34 | 3 | 1272 | 62 | Search | -349493 | -349493 | Global Improvement.
34 | 3 | 1273 | 63 | Search | -349505 | -349505 | Global Improvement.
34 | 3 | 1274 | 64 | Search | -349519 | -349519 | Global Improvement.
34 | 3 | 1275 | 65 | Search | -349541 | -349541 | Global Improvement.
34 | 3 | 1276 | 66 | Search | -349597 | -349597 | Global Improvement.
34 | 3 | 1277 | 67 | Search | -349665 | -349665 | Global Improvement.
34 | 3 | 1278 | 68 | Search | -349711 | -349711 | Global Improvement.
34 | 3 | 1280 | 70 | Search | -349863 | -349863 | Global Improvement.
167 | 13 | 6533 | 3 | Search | -349881 | -349881 | Global Improvement.
194 | 15 | 7600 | 17 | Search | -349936 | -349936 | Global Improvement.
194 | 15 | 7601 | 18 | Search | -350050 | -350050 | Global Improvement.
194 | 15 | 7602 | 19 | Search | -350116 | -350116 | Global Improvement.
194 | 15 | 7603 | 20 | Search | -350194 | -350194 | Global Improvement.
194 | 15 | 7604 | 21 | Search | -350327 | -350327 | Global Improvement.
194 | 15 | 7605 | 22 | Search | -350389 | -350389 | Global Improvement.
194 | 15 | 7606 | 23 | Search | -350429 | -350429 | Global Improvement.
194 | 15 | 7607 | 24 | Search | -350459 | -350459 | Global Improvement.
194 | 15 | 7608 | 25 | Search | -350589 | -350589 | Global Improvement.
194 | 15 | 7609 | 26 | Search | -350755 | -350755 | Global Improvement.
194 | 15 | 7610 | 27 | Search | -350767 | -350767 | Global Improvement.
194 | 15 | 7615 | 32 | Search | -350777 | -350777 | Global Improvement.
195 | 15 | 7616 | 33 | Search | -350815 | -350815 | Global Improvement.
195 | 15 | 7617 | 34 | Search | -350847 | -350847 | Global Improvement.
195 | 15 | 7618 | 35 | Search | -350901 | -350901 | Global Improvement.
195 | 15 | 7620 | 37 | Search | -351003 | -351003 | Global Improvement.
195 | 15 | 7621 | 38 | Search | -351029 | -351029 | Global Improvement.
195 | 15 | 7622 | 39 | Search | -351081 | -351081 | Global Improvement.
195 | 15 | 7623 | 40 | Search | -351117 | -351117 | Global Improvement.
195 | 15 | 7624 | 41 | Search | -351125 | -351125 | Global Improvement.
195 | 15 | 7633 | 50 | Search | -351139 | -351139 | Global Improvement.
195 | 15 | 7634 | 51 | Search | -351147 | -351147 | Global Improvement.
195 | 15 | 7640 | 57 | Search | -351163 | -351163 | Global Improvement.
195 | 15 | 7641 | 58 | Search | -351175 | -351175 | Global Improvement.
195 | 15 | 7643 | 60 | Search | -351187 | -351187 | Global Improvement.
195 | 15 | 7646 | 63 | Search | -351215 | -351215 | Global Improvement.
195 | 15 | 7647 | 64 | Search | -351289 | -351289 | Global Improvement.
195 | 15 | 7648 | 65 | Search | -351315 | -351315 | Global Improvement.
195 | 15 | 7649 | 66 | Search | -351323 | -351323 | Global Improvement.
196 | 15 | 7654 | 71 | Search | -351329 | -351329 | Global Improvement.
276 | 21 | 10855 | 51 | Search | -351339 | -351339 | Global Improvement.
304 | 23 | 11941 | 36 | Search | -351404 | -351404 | Global Improvement.
304 | 23 | 11942 | 37 | Search | -351448 | -351448 | Global Improvement.
304 | 23 | 11944 | 39 | Search | -351464 | -351464 | Global Improvement.
304 | 23 | 11951 | 46 | Search | -351472 | -351472 | Global Improvement.
304 | 23 | 11952 | 47 | Search | -351486 | -351486 | Global Improvement.
304 | 23 | 11953 | 48 | Search | -351500 | -351500 | Global Improvement.
304 | 23 | 11954 | 49 | Search | -351506 | -351506 | Global Improvement.
332 | 25 | 13022 | 18 | Search | -351536 | -351536 | Global Improvement.
332 | 25 | 13023 | 19 | Search | -351542 | -351542 | Global Improvement.
332 | 25 | 13025 | 21 | Search | -351548 | -351548 | Global Improvement.
359 | 27 | 14083 | 8 | Search | -351568 | -351568 | Global Improvement.
359 | 27 | 14084 | 9 | Search | -351668 | -351668 | Global Improvement.
359 | 27 | 14085 | 10 | Search | -351680 | -351680 | Global Improvement.
359 | 27 | 14089 | 14 | Search | -351746 | -351746 | Global Improvement.
359 | 27 | 14090 | 15 | Search | -351766 | -351766 | Global Improvement.
359 | 27 | 14093 | 18 | Search | -351890 | -351890 | Global Improvement.
359 | 27 | 14094 | 19 | Search | -351918 | -351918 | Global Improvement.
359 | 27 | 14095 | 20 | Search | -351926 | -351926 | Global Improvement.
413 | 31 | 16199 | 4 | Search | -351986 | -351986 | Global Improvement.
413 | 31 | 16200 | 5 | Search | -352042 | -352042 | Global Improvement.
1722 | 129 | 67689 | 39 | Search | -352046 | -352046 | Global Improvement.
1722 | 129 | 67690 | 40 | Search | -352054 | -352054 | Global Improvement.

 Optimization finished in 6.815155103s. 
 Objective of best solution found: -352054Time(ms) | Phase nr. | It | Phase It | Phase Type | objective | best obj. | move type
0 | 1 | 1 | 1 | Search | -324026 | -324026 | Global Improvement.
0 | 1 | 2 | 2 | Search | -324690 | -324690 | Global Improvement.
0 | 1 | 3 | 3 | Search | -325196 | -325196 | Global Improvement.
0 | 1 | 4 | 4 | Search | -325698 | -325698 | Global Improvement.
0 | 1 | 5 | 5 | Search | -326192 | -326192 | Global Improvement.
0 | 1 | 6 | 6 | Search | -326680 | -326680 | Global Improvement.
0 | 1 | 7 | 7 | Search | -327224 | -327224 | Global Improvement.
0 | 1 | 8 | 8 | Search | -327698 | -327698 | Global Improvement.
0 | 1 | 9 | 9 | Search | -328171 | -328171 | Global Improvement.
0 | 1 | 10 | 10 | Search | -328643 | -328643 | Global Improvement.
0 | 1 | 11 | 11 | Search | -329153 | -329153 | Global Improvement.
0 | 1 | 12 | 12 | Search | -329572 | -329572 | Global Improvement.
0 | 1 | 13 | 13 | Search | -329932 | -329932 | Global Improvement.
0 | 1 | 14 | 14 | Search | -330290 | -330290 | Global Improvement.
0 | 1 | 15 | 15 | Search | -330646 | -330646 | Global Improvement.
0 | 1 | 16 | 16 | Search | -330986 | -330986 | Global Improvement.
0 | 1 | 17 | 17 | Search | -331308 | -331308 | Global Improvement.
0 | 1 | 18 | 18 | Search | -331622 | -331622 | Global Improvement.
0 | 1 | 19 | 19 | Search | -331920 | -331920 | Global Improvement.
0 | 1 | 20 | 20 | Search | -332216 | -332216 | Global Improvement.
0 | 1 | 21 | 21 | Search | -332494 | -332494 | Global Improvement.
0 | 1 | 22 | 22 | Search | -332770 | -332770 | Global Improvement.
0 | 1 | 23 | 23 | Search | -333074 | -333074 | Global Improvement.
0 | 1 | 24 | 24 | Search | -333402 | -333402 | Global Improvement.
0 | 1 | 25 | 25 | Search | -333668 | -333668 | Global Improvement.
0 | 1 | 26 | 26 | Search | -333928 | -333928 | Global Improvement.
0 | 1 | 27 | 27 | Search | -334250 | -334250 | Global Improvement.
0 | 1 | 28 | 28 | Search | -334476 | -334476 | Global Improvement.
0 | 1 | 29 | 29 | Search | -334700 | -334700 | Global Improvement.
1 | 1 | 30 | 30 | Search | -334908 | -334908 | Global Improvement.
1 | 1 | 31 | 31 | Search | -335108 | -335108 | Global Improvement.
1 | 1 | 32 | 32 | Search | -335304 | -335304 | Global Improvement.
1 | 1 | 33 | 33 | Search | -335458 | -335458 | Global Improvement.
1 | 1 | 34 | 34 | Search | -335610 | -335610 | Global Improvement.
1 | 1 | 35 | 35 | Search | -335864 | -335864 | Global Improvement.
1 | 1 | 36 | 36 | Search | -336056 | -336056 | Global Improvement.
1 | 1 | 37 | 37 | Search | -336276 | -336276 | Global Improvement.
1 | 1 | 38 | 38 | Search | -336544 | -336544 | Global Improvement.
1 | 1 | 39 | 39 | Search | -336690 | -336690 | Global Improvement.
1 | 1 | 40 | 40 | Search | -337014 | -337014 | Global Improvement.
1 | 1 | 41 | 41 | Search | -337240 | -337240 | Global Improvement.
1 | 1 | 42 | 42 | Search | -337384 | -337384 | Global Improvement.
1 | 1 | 43 | 43 | Search | -337664 | -337664 | Global Improvement.
1 | 1 | 44 | 44 | Search | -337856 | -337856 | Global Improvement.
1 | 1 | 45 | 45 | Search | -337998 | -337998 | Global Improvement.
1 | 1 | 46 | 46 | Search | -338208 | -338208 | Global Improvement.
1 | 1 | 47 | 47 | Search | -338350 | -338350 | Global Improvement.
1 | 1 | 48 | 48 | Search | -338526 | -338526 | Global Improvement.
1 | 1 | 49 | 49 | Search | -338692 | -338692 | Global Improvement.
1 | 1 | 50 | 50 | Search | -338880 | -338880 | Global Improvement.
1 | 1 | 51 | 51 | Search | -339008 | -339008 | Global Improvement.
1 | 1 | 52 | 52 | Search | -339130 | -339130 | Global Improvement.
1 | 1 | 53 | 53 | Search | -339262 | -339262 | Global Improvement.
1 | 1 | 54 | 54 | Search | -339412 | -339412 | Global Improvement.
1 | 1 | 55 | 55 | Search | -339670 | -339670 | Global Improvement.
1 | 1 | 56 | 56 | Search | -339814 | -339814 | Global Improvement.
1 | 1 | 57 | 57 | Search | -340002 | -340002 | Global Improvement.
1 | 1 | 58 | 58 | Search | -340182 | -340182 | Global Improvement.
1 | 1 | 59 | 59 | Search | -340320 | -340320 | Global Improvement.
1 | 1 | 60 | 60 | Search | -340528 | -340528 | Global Improvement.
2 | 1 | 61 | 61 | Search | -340698 | -340698 | Global Improvement.
2 | 1 | 62 | 62 | Search | -340922 | -340922 | Global Improvement.
2 | 1 | 63 | 63 | Search | -341158 | -341158 | Global Improvement.
2 | 1 | 64 | 64 | Search | -341382 | -341382 | Global Improvement.
2 | 1 | 65 | 65 | Search | -341526 | -341526 | Global Improvement.
2 | 1 | 66 | 66 | Search | -341744 | -341744 | Global Improvement.
2 | 1 | 67 | 67 | Search | -341974 | -341974 | Global Improvement.
2 | 1 | 68 | 68 | Search | -342079 | -342079 | Global Improvement.
2 | 1 | 69 | 69 | Search | -342181 | -342181 | Global Improvement.
2 | 1 | 70 | 70 | Search | -342273 | -342273 | Global Improvement.
2 | 1 | 71 | 71 | Search | -342443 | -342443 | Global Improvement.
2 | 1 | 72 | 72 | Search | -342587 | -342587 | Global Improvement.
2 | 1 | 73 | 73 | Search | -342861 | -342861 | Global Improvement.
2 | 1 | 74 | 74 | Search | -342973 | -342973 | Global Improvement.
2 | 1 | 75 | 75 | Search | -343049 | -343049 | Global Improvement.
2 | 1 | 76 | 76 | Search | -343113 | -343113 | Global Improvement.
2 | 1 | 77 | 77 | Search | -343227 | -343227 | Global Improvement.
2 | 1 | 78 | 78 | Search | -343382 | -343382 | Global Improvement.
2 | 1 | 79 | 79 | Search | -343594 | -343594 | Global Improvement.
2 | 1 | 80 | 80 | Search | -343702 | -343702 | Global Improvement.
2 | 1 | 81 | 81 | Search | -343806 | -343806 | Global Improvement.
2 | 1 | 82 | 82 | Search | -343946 | -343946 | Global Improvement.
2 | 1 | 83 | 83 | Search | -344086 | -344086 | Global Improvement.
2 | 1 | 84 | 84 | Search | -344186 | -344186 | Global Improvement.
2 | 1 | 85 | 85 | Search | -344286 | -344286 | Global Improvement.
2 | 1 | 86 | 86 | Search | -344358 | -344358 | Global Improvement.
2 | 1 | 87 | 87 | Search | -344472 | -344472 | Global Improvement.
2 | 1 | 88 | 88 | Search | -344578 | -344578 | Global Improvement.
2 | 1 | 89 | 89 | Search | -344648 | -344648 | Global Improvement.
2 | 1 | 90 | 90 | Search | -344766 | -344766 | Global Improvement.
2 | 1 | 91 | 91 | Search | -344992 | -344992 | Global Improvement.
3 | 1 | 92 | 92 | Search | -345058 | -345058 | Global Improvement.
3 | 1 | 93 | 93 | Search | -345192 | -345192 | Global Improvement.
3 | 1 | 94 | 94 | Search | -345251 | -345251 | Global Improvement.
3 | 1 | 95 | 95 | Search | -345305 | -345305 | Global Improvement.
3 | 1 | 96 | 96 | Search | -345339 | -345339 | Global Improvement.
3 | 1 | 97 | 97 | Search | -345421 | -345421 | Global Improvement.
3 | 1 | 98 | 98 | Search | -345497 | -345497 | Global Improvement.
3 | 1 | 99 | 99 | Search | -345551 | -345551 | Global Improvement.
3 | 1 | 100 | 100 | Search | -345629 | -345629 | Global Improvement.
3 | 1 | 101 | 101 | Search | -345681 | -345681 | Global Improvement.
3 | 1 | 102 | 102 | Search | -345774 | -345774 | Global Improvement.
3 | 1 | 103 | 103 | Search | -345798 | -345798 | Global Improvement.
3 | 1 | 104 | 104 | Search | -345822 | -345822 | Global Improvement.
3 | 1 | 105 | 105 | Search | -345848 | -345848 | Global Improvement.
3 | 1 | 106 | 106 | Search | -345866 | -345866 | Global Improvement.
3 | 1 | 107 | 107 | Search | -345908 | -345908 | Global Improvement.
3 | 1 | 108 | 108 | Search | -345924 | -345924 | Global Improvement.
3 | 1 | 109 | 109 | Search | -345934 | -345934 | Global Improvement.
3 | 1 | 111 | 111 | Search | -346090 | -346090 | Global Improvement.
3 | 1 | 113 | 113 | Search | -346130 | -346130 | Global Improvement.
3 | 1 | 114 | 114 | Search | -346138 | -346138 | Global Improvement.
3 | 1 | 116 | 116 | Search | -346304 | -346304 | Global Improvement.
3 | 1 | 117 | 117 | Search | -346341 | -346341 | Global Improvement.
3 | 1 | 118 | 118 | Search | -346471 | -346471 | Global Improvement.
3 | 1 | 119 | 119 | Search | -346605 | -346605 | Global Improvement.
3 | 1 | 120 | 120 | Search | -346651 | -346651 | Global Improvement.
4 | 1 | 121 | 121 | Search | -346729 | -346729 | Global Improvement.
4 | 1 | 122 | 122 | Search | -346795 | -346795 | Global Improvement.
4 | 1 | 123 | 123 | Search | -346861 | -346861 | Global Improvement.
4 | 1 | 124 | 124 | Search | -346950 | -346950 | Global Improvement.
4 | 1 | 125 | 125 | Search | -347006 | -347006 | Global Improvement.
4 | 1 | 126 | 126 | Search | -347158 | -347158 | Global Improvement.
4 | 1 | 127 | 127 | Search | -347196 | -347196 | Global Improvement.
4 | 1 | 128 | 128 | Search | -347352 | -347352 | Global Improvement.
4 | 1 | 129 | 129 | Search | -347426 | -347426 | Global Improvement.
4 | 1 | 130 | 130 | Search | -347508 | -347508 | Global Improvement.
4 | 1 | 131 | 131 | Search | -347562 | -347562 | Global Improvement.
4 | 1 | 132 | 132 | Search | -347612 | -347612 | Global Improvement.
4 | 1 | 133 | 133 | Search | -347730 | -347730 | Global Improvement.
4 | 1 | 134 | 134 | Search | -347774 | -347774 | Global Improvement.
4 | 1 | 138 | 138 | Search | -347794 | -347794 | Global Improvement.
4 | 1 | 139 | 139 | Search | -347834 | -347834 | Global Improvement.
4 | 1 | 140 | 140 | Search | -347938 | -347938 | Global Improvement.
4 | 1 | 144 | 144 | Search | -348004 | -348004 | Global Improvement.
4 | 1 | 145 | 145 | Search | -348146 | -348146 | Global Improvement.
4 | 1 | 146 | 146 | Search | -348194 | -348194 | Global Improvement.
4 | 1 | 147 | 147 | Search | -348218 | -348218 | Global Improvement.
4 | 1 | 148 | 148 | Search | -348232 | -348232 | Global Improvement.
5 | 1 | 151 | 151 | Search | -348250 | -348250 | Global Improvement.
5 | 1 | 152 | 152 | Search | -348296 | -348296 | Global Improvement.
5 | 1 | 153 | 153 | Search | -348410 | -348410 | Global Improvement.
5 | 1 | 154 | 154 | Search | -348414 | -348414 | Global Improvement.
5 | 1 | 156 | 156 | Search | -348470 | -348470 | Global Improvement.
5 | 1 | 157 | 157 | Search | -348496 | -348496 | Global Improvement.
5 | 1 | 158 | 158 | Search | -348612 | -348612 | Global Improvement.
5 | 1 | 159 | 159 | Search | -348663 | -348663 | Global Improvement.
5 | 1 | 160 | 160 | Search | -348699 | -348699 | Global Improvement.
5 | 1 | 161 | 161 | Search | -348733 | -348733 | Global Improvement.
5 | 1 | 162 | 162 | Search | -348765 | -348765 | Global Improvement.
5 | 1 | 164 | 164 | Search | -348787 | -348787 | Global Improvement.
5 | 1 | 165 | 165 | Search | -348805 | -348805 | Global Improvement.
5 | 1 | 166 | 166 | Search | -348867 | -348867 | Global Improvement.
5 | 1 | 167 | 167 | Search | -348881 | -348881 | Global Improvement.
